hashtag,GRUENE,LINKE,CDUCSU,SPD,AFD,FDP
#08märz,0,1,0,0,0,0
#2021bundestagswahlen,0,0,0,0,1,0
#20juli,0,0,0,0,1,0
#219a,0,1,0,0,0,0
#219amussweg,1,0,0,0,0,0
#30jahreeinheit,0,1,0,0,0,0
#4genderstudies,5,3,0,0,0,0
#5g,0,0,0,0,1,0
#8maerz,1,0,0,0,0,0
#8märz,0,2,0,0,0,0
#aas,0,0,0,0,1,0
#abstraktebilder,0,0,0,0,1,0
#absurdistan,0,0,1,0,0,0
#abwrackprämie,0,0,0,1,0,0
#adabsurdum,0,0,0,0,1,0
#afd,3,1,0,1,72,0
#afdbpt21,0,0,0,0,1,0
#afdimbundestag,0,0,0,0,11,0
#afdwirkt,0,0,0,0,12,0
#afdwählen,0,0,0,0,3,0
#afghanistan,0,0,0,0,1,0
#akk,0,0,0,0,2,0
#allesistdrin,1,0,0,0,0,0
#allgemeinverbindlichkeit,1,0,0,0,0,0
#altenburgerland,0,0,0,0,4,0
#altersarmut,0,3,0,0,0,0
#alterweissermann,0,0,0,0,1,0
#alterweißermann,1,0,0,0,0,0
#altparteien,0,0,0,0,1,0
#amen,0,0,0,0,4,0
#amenandawoman,0,0,0,0,4,0
#aminext,0,1,0,0,0,0
#amtseid,0,0,0,0,1,0
#amtskirchen,0,0,0,0,1,0
#anglizismus,1,0,1,0,0,0
#anglizismus2018,2,0,0,0,0,0
#anihrentatensollenwirsiemessen,1,0,0,0,0,0
#annewill,2,0,1,0,3,0
#anstandleben,0,0,0,1,0,0
#antidiskriminierung,0,0,0,0,1,0
#antifa,0,0,0,0,4,0
#antirassisten,0,0,0,0,1,0
#antisexismus,0,0,0,0,1,0
#arbeit,0,1,0,0,0,0
#arbeitnehmer,0,0,0,0,1,0
#arbeitsplätze,0,0,0,0,1,0
#artenverlust,1,0,0,0,0,0
#asselborn,0,0,0,0,1,0
#asta,0,0,0,0,1,0
#asyl,0,0,0,0,1,0
#audi,0,0,0,0,1,0
#aufaugenhöhe,0,1,0,0,0,0
#aus,0,0,0,0,1,0
#ausmeinerpost,0,0,0,1,0,0
#automobilindustrie,0,0,0,0,1,0
#außen,0,0,0,0,1,0
#babos,0,0,0,1,0,0
#baer,0,0,0,0,1,0
#baerbock,1,0,0,0,7,1
#baerbockin,0,0,0,0,1,0
#baerbocklügt,0,0,0,0,1,0
#baerbocks,0,0,1,0,0,0
#bafög,2,0,0,0,0,0
#barley,0,0,1,0,0,0
#barnim,0,0,1,0,0,0
#bartträgerinnen,0,0,0,0,1,0
#basis,0,0,0,1,0,0
#bauen,1,0,0,0,0,0
#bawü,1,0,0,0,0,0
#bayern,0,1,0,1,2,0
#bayertrend,0,0,0,0,1,0
#bcgender18,1,0,0,0,0,0
#bedfordstrohm,0,0,0,0,1,0
#befangenheit,0,0,0,0,1,0
#belarus,0,0,0,1,0,0
#beratergate,0,0,0,0,1,0
#berlin,0,0,0,0,11,1
#berlinale,0,1,0,0,1,0
#bernhard,0,0,0,0,2,0
#beschäftigungsmaßnahmen,0,0,0,0,1,0
#bessermenschen,0,0,0,0,1,0
#betd2019,1,0,0,0,0,0
#betriebe,0,0,0,1,0,0
#bgh,0,0,0,0,1,0
#bild,0,1,0,0,0,0
#bildung,0,1,1,0,0,1
#bildungsgerechtigkeit,0,1,0,0,0,0
#bildungsverlierer,0,0,0,0,1,0
#binneni,1,0,0,0,0,0
#blacklivesmatter,0,0,0,0,1,0
#blm,0,0,0,0,1,0
#bmfsfj,0,0,1,0,0,0
#bmw,0,0,0,0,1,0
#bonn,1,0,0,0,0,1
#bpt18,0,0,0,0,0,1
#br,0,0,0,1,0,0
#brandenburg,0,0,0,0,1,0
#brandner,0,0,0,0,8,0
#brandnerfragt,0,0,0,0,1,0
#breakthesilence,0,0,0,1,0,0
#breg,0,2,0,0,0,0
#breitband,0,0,0,0,1,0
#bremen,0,1,0,0,0,0
#brexit,0,0,0,0,1,0
#brussels,0,0,0,2,0,0
#brühl,0,0,0,1,0,0
#btadavaeo,0,1,0,0,0,0
#btw2021,0,0,0,1,0,0
#btw21,1,0,0,0,1,0
#bulgarien,0,0,0,1,0,0
#bullshi,0,0,0,0,1,0
#bullshit,0,0,0,0,1,0
#bundeshaushalt,0,0,0,1,0,0
#bundeshaushalts,0,1,0,0,0,0
#bundespolizei,0,0,0,0,1,0
#bundesregierung,2,1,0,0,2,0
#bundestag,4,8,0,1,19,0
#bundestagswahl2021,0,0,0,0,1,0
#bundesverfassungsgericht,0,1,0,0,1,0
#bundeswehr,0,0,2,0,8,0
#bunt,0,0,0,0,1,0
#bunteswehr,0,0,0,0,1,0
#buntewelt,0,0,0,0,1,0
#burkhardt,0,0,0,0,1,0
#bverfg,0,0,0,0,2,0
#bürger,0,0,0,0,1,0
#bürgerfern,0,0,1,0,0,0
#bürgerfonds,1,0,0,0,0,0
#bürgerversicherung,1,0,0,0,0,0
#bürokratie,0,0,0,0,0,1
#calltoaction,0,1,0,0,0,0
#cancelculture,0,3,0,0,0,0
#capetown,0,1,0,0,0,0
#carriegracie,1,0,0,0,0,0
#cartoon,0,0,0,0,1,0
#cda,0,0,1,0,0,0
#cdu,3,3,2,0,7,0
#cdugoesafd,0,0,0,1,0,0
#cdugoesmerz,1,0,0,0,0,0
#cdurausausderregierung,0,3,0,0,0,0
#ceu,1,0,0,0,0,0
#chancengleichheit,0,1,1,0,0,0
#clauskleber,0,0,1,0,0,0
#climate,0,0,0,3,0,0
#climatejustice,4,0,0,0,0,0
#congress,0,0,0,0,3,0
#connewitz,1,0,0,0,0,0
#cop13,1,0,0,0,0,0
#copyright,0,0,0,1,0,0
#corona,1,3,1,0,5,1
#coronagipfel,0,1,0,0,0,0
#coronakrise,0,0,0,0,1,0
#coronavirusdeutschland,0,1,0,0,0,0
#couragezeigen,0,0,0,1,0,0
#covid19,0,1,0,1,1,0
#covid2019de,0,1,0,0,1,0
#crowdfunding,1,0,0,0,0,0
#csu,0,0,0,0,4,1
#culturalappropiation,0,0,0,0,1,0
#cumexfiles,1,0,0,0,0,0
#dankespd,0,0,0,0,1,0
#dayofthegirl,0,0,0,0,0,1
#debatte,0,0,0,1,0,0
#deepfakes,1,0,0,0,0,0
#democracy,1,0,0,1,0,0
#democrat,0,0,0,0,1,0
#democrats,0,0,0,0,1,0
#demokratie,1,1,0,1,2,0
#denktdochmalnach,0,0,0,0,1,0
#deutsche,0,0,0,1,0,0
#deutschesprache,0,0,2,1,1,0
#deutschland,0,1,1,0,7,0
#deutschlandabernormal,0,0,0,0,6,0
#deutschlandfunk,0,0,1,0,1,0
#dfb,0,0,0,0,1,0
#diegruenen,0,0,0,0,0,1
#diehälftedermacht,1,0,0,0,0,0
#dielinke,0,0,0,0,1,0
#diemannschaft,0,0,0,0,1,0
#diesel,0,0,0,0,1,0
#dieseltechnologie,0,0,0,0,1,0
#diewelle,0,0,0,0,1,0
#digitalebildung,1,0,0,0,0,0
#digitalemündigkeit,0,1,0,0,0,0
#digitales,0,0,0,1,0,0
#digitaleschule,0,0,0,0,1,0
#digitalisierung,3,1,0,1,1,0
#digitalpakt,0,0,0,0,1,0
#digitaltour,1,0,0,0,0,0
#diktatur,0,0,0,0,1,0
#discrimination,2,0,0,0,0,0
#diskriminiert,0,0,0,0,1,0
#diskriminierung,1,0,0,0,1,0
#diskrminierung,0,0,0,0,1,0
#diverse,0,0,0,0,1,0
#diversity,0,1,1,1,0,0
#diversityday,0,0,0,1,0,0
#diversitytag,1,0,0,0,0,0
#dlf,0,0,0,0,1,0
#dortmund,0,0,1,0,0,0
#dragkid,0,0,0,0,1,0
#drittesgeschlecht,0,0,0,0,1,0
#drop33,0,0,0,1,0,0
#duden,1,0,3,0,3,0
#duisburg,0,0,0,1,0,0
#düsseldorf,1,0,0,0,0,0
#econtwitter,3,0,0,0,0,0
#ehegattenspltting,1,0,0,0,0,0
#eindiverspackung,0,0,0,0,1,0
#einkommensdiskriminierung,1,0,0,0,0,0
#einmannpackung,0,0,0,0,1,0
#einwanderer,0,0,0,0,1,0
#einwanderung,0,0,0,0,3,0
#eisenberg,0,0,0,0,2,0
#ekd,0,0,0,0,2,0
#ekhn,0,0,0,0,1,0
#election2020results,0,0,0,0,1,0
#eltern,0,0,0,0,1,0
#emanuelcleaver,0,0,0,0,1,0
#emanzipation,0,1,0,0,0,0
#emek,0,1,0,0,0,0
#emissions,1,0,0,0,0,0
#endegelaende,0,1,0,0,0,0
#endsexualharassment,0,0,0,1,0,0
#energie,0,0,0,0,1,0
#energiewende,1,0,0,0,1,0
#energytransition,1,0,0,0,0,0
#entgeltgleichheit,0,1,1,0,0,0
#entgelttransparenzgesetz,2,2,0,0,0,0
#entmannt,1,0,0,0,0,0
#epa,0,0,0,0,1,0
#epd2020,0,1,0,0,0,0
#epplenary,1,0,0,0,0,0
#eqaulpayday,0,0,0,1,0,0
#equality,0,1,0,1,0,0
#equalpay,5,6,0,0,0,0
#equalpayday,9,6,5,7,1,1
#equalpayday2019,0,0,2,0,0,0
#equalpayforequalwork,0,1,0,0,0,0
#erfurt,0,0,0,0,1,0
#erholungsprämie,0,0,0,1,0,0
#esken,0,0,0,0,1,0
#esport,1,0,0,0,0,0
#esports,1,0,0,0,0,0
#eu,3,0,0,4,6,0
#eu2020de,0,0,0,3,0,0
#eu4women,0,0,0,1,0,0
#euco,0,0,0,1,0,0
#europa,0,0,0,4,0,0
#europaistdieantwort,0,0,0,3,0,0
#europarat,0,0,0,1,0,0
#europawahl,0,0,0,0,1,0
#europawahl2019,0,0,0,0,1,0
#europe,0,0,0,3,0,0
#eusocialsummit21,0,0,0,1,0,0
#evangelisch,0,0,0,0,2,0
#evangelische,0,0,0,0,1,0
#extinctionrebellion,0,1,0,0,0,0
#eşitlik,0,1,0,0,0,0
#fahrspurende,0,1,0,0,0,0
#fahrverbote,0,0,0,0,1,0
#fahrverbotskrampf,0,0,0,0,2,0
#fakenews,0,0,0,0,1,0
#familie,0,1,0,0,5,0
#familien,0,1,0,0,3,0
#familiennachzug,0,0,1,0,0,0
#faz,0,0,1,0,3,0
#fckafd,0,1,0,0,0,0
#fdp,0,0,0,0,2,0
#felixgermania,0,0,0,0,1,0
#femalefutureforce,0,0,0,0,0,1
#femininum,0,0,0,0,1,0
#feminism,0,0,0,1,0,0
#feminismus,2,8,0,1,3,0
#feminist,1,1,0,0,0,0
#feministen,0,0,0,0,2,0
#fes,0,0,0,1,0,0
#feuerwehr,0,0,0,0,4,0
#fff,0,0,0,0,1,0
#finanzpolitik,0,1,0,0,0,0
#fleischhauer,1,0,0,0,0,0
#fleischverbot,0,0,0,0,1,0
#flutkatastrophe,0,0,0,0,1,0
#flüchtlinge,0,0,0,0,1,0
#flüchtlingskosten,0,0,0,0,1,0
#forschung,3,0,0,0,1,0
#forschungsobjekt,1,0,0,0,0,0
#framing,0,0,0,0,2,0
#frankreich,0,1,0,0,1,0
#frauen,8,2,0,2,2,2
#frauenarbeitistmehrwert,0,1,0,0,0,0
#frauenfeindlich,0,1,0,0,0,0
#frauenfussball,1,0,0,0,0,0
#frauengesundheitsbericht,0,1,0,0,0,0
#frauenkampftag,1,3,0,0,0,0
#frauenmärz,1,0,0,0,0,0
#frauenquote,0,0,0,2,4,0
#frauenrechte,0,2,0,0,0,0
#frauensindmehrwert,1,0,0,0,0,0
#frauenstreik,0,1,0,0,0,0
#frauentag,5,1,1,2,0,0
#frauentag2021,0,1,0,0,0,0
#frauenverdienenmehr,1,0,0,0,0,0
#frauenwahlrecht,0,1,0,0,0,0
#frauenwm,1,0,0,0,0,0
#frauinnen,0,0,0,0,1,0
#fraupräsident,0,0,0,0,1,0
#freiewissenschaft,0,0,0,0,0,1
#freiheit,0,0,0,0,2,0
#fridaysforfuture,0,1,0,0,0,0
#frieden,1,0,0,0,0,0
#fritz,0,0,0,0,1,0
#frühsexualisierung,0,0,0,0,4,0
#führung,1,0,0,0,0,0
#fürdeutschland,1,0,0,0,0,0
#gaga,0,0,1,0,1,0
#ganzundgarnicht,0,0,0,0,1,0
#garantierente,1,0,0,0,0,0
#gefährder,0,0,1,0,0,0
#gegendemo,0,0,0,0,1,0
#gehalt,0,0,0,1,0,0
#geldindiehand,0,0,0,1,0,0
#geldverschwendung,0,0,1,0,0,0
#gemeinnuetzigkeit,0,0,1,0,0,0
#gendegaga,0,0,0,0,1,0
#gender,23,12,6,11,78,2
#gender_und_klima_gaga,0,0,0,0,1,0
#genderal,0,0,0,0,1,0
#genderaward2018,1,1,0,0,0,0
#genderaward2019,0,0,0,1,0,0
#genderbalance,0,1,0,0,0,0
#genderbasedviolence,0,1,0,0,0,0
#genderbeauftragte,1,0,0,0,0,0
#genderbekloppten,0,0,0,0,1,0
#genderblödsinn,0,0,1,0,0,0
#genderbudgeting,3,2,0,4,0,0
#gendercaregap,0,0,1,0,0,0
#genderdingsbums,0,0,0,0,1,0
#genderdiversenquote,0,0,0,0,1,0
#genderdiversity,0,0,0,0,1,0
#genderdoppelpunkt,0,0,1,0,1,0
#gendereconimics,1,0,0,0,0,0
#gendereconomics,2,0,0,0,0,0
#genderequality,4,2,0,7,0,1
#genderequity,0,3,0,0,1,0
#genderfanatiker,0,0,0,0,1,0
#genderfluid,0,0,0,0,2,0
#genderforscher,0,0,0,0,1,0
#genderforschung,5,0,0,0,4,1
#gendergaga,2,4,9,4,82,1
#gendergagas,0,0,0,0,1,0
#gendergags,0,0,0,0,1,0
#gendergap,4,2,0,1,0,0
#gendergedöns,0,0,0,0,1,0
#gendergerecht,0,0,0,1,1,0
#gendergerechte,0,0,0,0,1,0
#gendergerechtigkeit,1,2,0,0,1,0
#genderideologie,0,0,0,0,1,0
#genderinequality,1,0,0,0,0,0
#genderirrsinn,0,0,1,0,0,0
#genderism,0,0,0,0,1,0
#genderjustice,1,0,0,0,0,0
#genderkacke,0,1,0,0,0,0
#genderklo,0,0,0,0,2,0
#genderkunstsprache,0,0,1,0,0,0
#genderleadershipgap,1,0,0,0,0,0
#gendermainstreaming,0,0,0,1,1,0
#gendermarketing,0,6,0,0,0,0
#gendermedizin,0,1,0,0,0,0
#gendern,16,5,19,4,9,4
#genderneutral,0,0,0,0,2,0
#genderneutrale,0,0,0,0,1,0
#genderneutrallaws,1,0,0,0,0,0
#gendernneindanke,0,0,1,0,1,0
#genderoscargap,0,1,0,0,0,0
#genderpaygap,34,31,7,16,5,5
#genderpensiongap,2,0,0,0,0,0
#genderpricing,0,0,1,0,0,0
#genderquark,0,0,0,0,2,0
#genderquatsch,0,0,0,0,5,0
#genderreveal,0,0,0,0,1,0
#gendersinn,0,1,0,0,0,0
#genderspinner,0,0,0,0,1,0
#gendersprache,2,0,7,0,4,0
#gendersprech,0,0,1,0,0,0
#genderstar,3,0,0,0,0,0
#genderstern,1,0,5,0,0,0
#gendersternchen,4,2,6,0,7,1
#gendersternchentanten,1,0,0,0,0,0
#gendersternneindanke,0,0,1,0,0,0
#genderstotter,0,0,0,0,1,0
#genderstudies,6,6,0,0,2,1
#genderswap,0,0,0,0,1,0
#genderswapmalanders,0,1,0,0,0,0
#gendertotalitäre,0,0,0,0,1,0
#gendertrouble,0,2,0,0,0,0
#genderunfug,0,1,0,0,2,0
#genderverbot,1,5,0,0,0,0
#genderwahn,2,2,4,0,16,2
#genderwahnsinn,0,1,1,0,1,0
#genderzwang,0,0,1,0,0,0
#genderökonomie,1,0,0,0,0,0
#generaldebatte,0,0,0,0,1,0
#generischesmaskulinum,1,0,0,0,1,0
#gera,0,0,0,0,6,0
#geradejetzt,0,0,0,2,0,0
#gerechtesprache,1,0,0,0,0,0
#gerechtigkeit,1,0,0,1,0,0
#gersrb,0,0,0,0,1,0
#geschlecht,0,1,0,0,0,1
#geschlechtergerecht,0,0,0,0,1,0
#geschlechtergerechtigkeit,2,2,0,6,0,0
#geschlechtergerechtigtkeit,1,0,0,0,0,0
#geschlechtsidentitäten,0,0,0,0,1,0
#geschwätzwissenschaften,0,0,0,0,1,0
#gesellschaft,0,0,0,0,1,0
#gesetze,0,0,1,0,0,0
#gesundheitsrisikor2g,0,0,1,0,0,0
#gewaltdelikt,1,0,0,0,0,0
#gewaltenteilung,0,0,0,0,1,0
#gewerkschaften,0,0,0,0,1,0
#gez,0,0,0,0,5,0
#gezabschaffen,0,0,0,0,2,0
#gfds,0,0,1,0,0,0
#gfsa,0,0,0,0,1,0
#giffey,1,1,0,0,1,0
#girlswelcome,0,0,0,0,1,0
#gleichberechtigung,0,2,0,1,0,1
#gleicherlohn,0,0,0,1,0,0
#gleicherlohnfürgleichearbeit,0,0,2,0,0,0
#gleichstelling,0,0,0,1,0,0
#gleichstellung,1,4,0,2,1,0
#gleichstellungspolitik,1,0,0,0,0,0
#gleichstellungsstelle,0,0,1,0,0,0
#goldenerzaunpfahl,0,7,0,0,0,0
#gomringer,0,0,0,0,1,0
#google,1,0,0,0,0,0
#gott,0,0,1,0,2,0
#greendigitaldeal,1,0,0,0,0,0
#greennewdeal,1,0,0,0,0,0
#greiz,0,0,0,0,4,0
#grenzschließungen,0,0,0,0,1,0
#groko,0,1,0,0,4,0
#großbritannien,0,0,0,0,1,0
#großkonzerne,0,0,0,0,1,0
#gruene,0,0,0,0,4,0
#grueneverhindern,0,0,0,1,1,0
#grundgesetz,0,0,0,0,1,0
#grundgesetzänderung,0,0,0,0,0,1
#grundrente,0,0,0,0,1,0
#grundrentefueralle,0,0,0,0,1,0
#grölemeyers,0,0,0,0,1,0
#grün,0,0,0,0,2,0
#grüne,1,0,2,1,3,1
#grünen,1,0,5,1,4,0
#grünesbundestagswahlprogramm,0,0,0,0,1,0
#grüninnen,0,0,0,0,5,0
#gutefragenschlechteantworten,0,0,0,0,1,0
#gutmenschen,0,0,0,0,1,0
#göre,0,0,0,0,1,0
#günstlingswirtschaft,0,0,0,0,1,0
#habeck,0,0,0,0,1,0
#hamburg,0,0,0,0,1,0
#hamburghasstgesunde,0,0,0,0,1,0
#handel,0,1,0,0,0,0
#hannover,2,0,2,0,1,0
#harbarth,0,0,0,0,1,0
#hasbro,0,0,0,0,1,0
#haseloff,0,1,0,0,0,0
#hass,1,0,0,0,0,0
#hauptmann,0,0,0,0,1,0
#haushalt,0,0,0,0,1,0
#haushalt2021,0,0,0,0,1,0
#haushaltsausschuss,1,0,0,0,0,0
#haushaltsdebatte,0,0,0,0,2,0
#heforshe,0,0,0,1,0,0
#heimatderweltverbesserer,0,0,0,1,0,0
#herzensprojekt,1,0,0,0,0,0
#hetze,0,0,0,0,1,0
#hochschule,1,1,0,0,0,0
#hochschulen,0,1,0,0,0,0
#homburg,0,0,0,0,1,0
#homeoffice,1,0,0,1,0,0
#hoschule,0,1,0,0,0,0
